"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Allocation Management","6","0","Check If Allocated","0"
"0","","0","","29","0","","0"
"0","","0","Allocation Management","2","0","Check Allocation","0"
"0","CUDA Availability Tests","0","CUDA Functionality","1","0","Test CUDA availability when CUDA is available","0"
"0","","0","Allocation Management","6","0","Register Allocation","0"
"0","","0","Allocation Management","5","0","Deregister Allocation","0"
"0","Scheduler Tests","0","Scheduler Functionality","1","0","Test start function with no existing jobs","0"
"0","CUDA Availability Tests","0","CUDA Functionality","1","0","Test CUDA availability when CUDA is not available","0"
"0","Scheduler Tests","0","Scheduler Functionality","1","0","Test start function with existing jobs","0"
